Sun Apr 14 07:54:31 2024 Epoch 104, rank:19, lr: 0.0023430, train loss: 0.44624, acc: 84.01800
Sun Apr 14 07:54:41 2024 Epoch 105, rank:19, lr: 0.0023039, train loss: 0.44395, acc: 84.18000
Sun Apr 14 07:54:51 2024 Epoch 106, rank:19, lr: 0.0022647, train loss: 0.43523, acc: 84.47000
Sun Apr 14 07:55:00 2024 Epoch 107, rank:19, lr: 0.0022257, train loss: 0.43310, acc: 84.80200
Sun Apr 14 07:55:09 2024 Epoch 108, rank:19, lr: 0.0021867, train loss: 0.42661, acc: 84.96400
Sun Apr 14 07:55:19 2024 Epoch 109, rank:18, lr: 0.0021477, train loss: 0.42663, acc: 84.80200
Sun Apr 14 07:55:28 2024 Epoch 110, rank:18, lr: 0.0021089, train loss: 0.42666, acc: 84.91800
Sun Apr 14 07:55:37 2024 Epoch 111, rank:18, lr: 0.0020702, train loss: 0.42106, acc: 84.90200
Sun Apr 14 07:55:47 2024 Epoch 112, rank:18, lr: 0.0020315, train loss: 0.41381, acc: 85.16600
Sun Apr 14 07:55:56 2024 Epoch 113, rank:18, lr: 0.0019930, train loss: 0.41235, acc: 85.24800
Sun Apr 14 07:56:05 2024 Epoch 114, rank:18, lr: 0.0019546, train loss: 0.41348, acc: 85.19000
Sun Apr 14 07:56:15 2024 Epoch 115, rank:18, lr: 0.0019164, train loss: 0.41092, acc: 85.22800
Sun Apr 14 07:56:24 2024 Epoch 116, rank:18, lr: 0.0018783, train loss: 0.40361, acc: 85.49400
Sun Apr 14 07:56:34 2024 Epoch 117, rank:18, lr: 0.0018403, train loss: 0.40178, acc: 85.55800
Sun Apr 14 07:56:43 2024 Epoch 118, rank:18, lr: 0.0018025, train loss: 0.39659, acc: 85.84800
Sun Apr 14 07:56:53 2024 Epoch 119, rank:17, lr: 0.0017649, train loss: 0.39477, acc: 85.84000
Sun Apr 14 07:57:03 2024 Epoch 120, rank:17, lr: 0.0017275, train loss: 0.40273, acc: 85.62600
Sun Apr 14 07:57:12 2024 Epoch 121, rank:17, lr: 0.0016902, train loss: 0.38871, acc: 86.03600
Sun Apr 14 07:57:21 2024 Epoch 122, rank:17, lr: 0.0016532, train loss: 0.38878, acc: 86.05200
Sun Apr 14 07:57:30 2024 Epoch 123, rank:17, lr: 0.0016163, train loss: 0.38627, acc: 86.21200
Sun Apr 14 07:57:40 2024 Epoch 124, rank:17, lr: 0.0015797, train loss: 0.38283, acc: 86.30200
Sun Apr 14 07:57:49 2024 Epoch 125, rank:17, lr: 0.0015433, train loss: 0.38436, acc: 86.28400
Sun Apr 14 07:57:58 2024 Epoch 126, rank:17, lr: 0.0015071, train loss: 0.37408, acc: 86.61800
Sun Apr 14 07:58:08 2024 Epoch 127, rank:17, lr: 0.0014712, train loss: 0.37590, acc: 86.60200
Sun Apr 14 07:58:18 2024 Epoch 128, rank:17, lr: 0.0014356, train loss: 0.38117, acc: 86.31000
Sun Apr 14 07:58:27 2024 Epoch 129, rank:16, lr: 0.0014002, train loss: 0.37271, acc: 86.58800
Sun Apr 14 07:58:37 2024 Epoch 130, rank:16, lr: 0.0013650, train loss: 0.37386, acc: 86.63600
Sun Apr 14 07:58:46 2024 Epoch 131, rank:16, lr: 0.0013302, train loss: 0.36440, acc: 86.94800
Sun Apr 14 07:58:55 2024 Epoch 132, rank:16, lr: 0.0012956, train loss: 0.35891, acc: 87.16400
Sun Apr 14 07:59:05 2024 Epoch 133, rank:16, lr: 0.0012614, train loss: 0.35987, acc: 87.04600
Sun Apr 14 07:59:14 2024 Epoch 134, rank:15, lr: 0.0012274, train loss: 0.35783, acc: 87.15400
Sun Apr 14 07:59:24 2024 Epoch 135, rank:15, lr: 0.0011938, train loss: 0.36596, acc: 86.58600
Sun Apr 14 07:59:33 2024 Epoch 136, rank:15, lr: 0.0011604, train loss: 0.35409, acc: 87.34400
Sun Apr 14 07:59:42 2024 Epoch 137, rank:15, lr: 0.0011274, train loss: 0.35146, acc: 87.42200
Sun Apr 14 07:59:52 2024 Epoch 138, rank:15, lr: 0.0010948, train loss: 0.34883, acc: 87.55600
Sun Apr 14 08:00:01 2024 Epoch 139, rank:15, lr: 0.0010625, train loss: 0.34855, acc: 87.50800
Sun Apr 14 08:00:10 2024 Epoch 140, rank:15, lr: 0.0010305, train loss: 0.35387, acc: 87.32400
Sun Apr 14 08:00:20 2024 Epoch 141, rank:15, lr: 0.0009989, train loss: 0.34354, acc: 87.83800
Sun Apr 14 08:00:29 2024 Epoch 142, rank:15, lr: 0.0009677, train loss: 0.34348, acc: 87.56400
Sun Apr 14 08:00:38 2024 Epoch 143, rank:15, lr: 0.0009369, train loss: 0.34113, acc: 87.96400
Sun Apr 14 08:00:47 2024 Epoch 144, rank:14, lr: 0.0009064, train loss: 0.34039, acc: 87.82600
Sun Apr 14 08:00:57 2024 Epoch 145, rank:14, lr: 0.0008764, train loss: 0.33950, acc: 87.86800
Sun Apr 14 08:01:06 2024 Epoch 146, rank:14, lr: 0.0008467, train loss: 0.33589, acc: 87.98600
Sun Apr 14 08:01:15 2024 Epoch 147, rank:14, lr: 0.0008175, train loss: 0.33628, acc: 87.90600
Sun Apr 14 08:01:25 2024 Epoch 148, rank:14, lr: 0.0007886, train loss: 0.32941, acc: 88.27800
Sun Apr 14 08:01:34 2024 Epoch 149, rank:14, lr: 0.0007602, train loss: 0.32894, acc: 88.34000
Sun Apr 14 08:01:44 2024 Epoch 150, rank:14, lr: 0.0007322, train loss: 0.33055, acc: 88.14200
Sun Apr 14 08:01:53 2024 Epoch 151, rank:14, lr: 0.0007047, train loss: 0.32501, acc: 88.27200
Sun Apr 14 08:02:03 2024 Epoch 152, rank:14, lr: 0.0006776, train loss: 0.32662, acc: 88.23000
Sun Apr 14 08:02:12 2024 Epoch 153, rank:14, lr: 0.0006509, train loss: 0.32516, acc: 88.38200
Sun Apr 14 08:02:21 2024 Epoch 154, rank:13, lr: 0.0006247, train loss: 0.32867, acc: 88.26400
Sun Apr 14 08:02:31 2024 Epoch 155, rank:13, lr: 0.0005990, train loss: 0.32879, acc: 88.21200
Sun Apr 14 08:02:40 2024 Epoch 156, rank:13, lr: 0.0005737, train loss: 0.32032, acc: 88.62600
Sun Apr 14 08:02:50 2024 Epoch 157, rank:13, lr: 0.0005489, train loss: 0.31473, acc: 88.72400
Sun Apr 14 08:02:59 2024 Epoch 158, rank:13, lr: 0.0005246, train loss: 0.31709, acc: 88.63400
Sun Apr 14 08:03:08 2024 Epoch 159, rank:12, lr: 0.0005008, train loss: 0.31575, acc: 88.60600
Sun Apr 14 08:03:18 2024 Epoch 160, rank:12, lr: 0.0004775, train loss: 0.31779, acc: 88.68600
Sun Apr 14 08:03:27 2024 Epoch 161, rank:12, lr: 0.0004546, train loss: 0.31754, acc: 88.46600
Sun Apr 14 08:03:36 2024 Epoch 162, rank:12, lr: 0.0004323, train loss: 0.31607, acc: 88.59000
Sun Apr 14 08:03:46 2024 Epoch 163, rank:12, lr: 0.0004105, train loss: 0.31033, acc: 88.94200
Sun Apr 14 08:03:55 2024 Epoch 164, rank:12, lr: 0.0003892, train loss: 0.31185, acc: 88.76600
Sun Apr 14 08:04:05 2024 Epoch 165, rank:12, lr: 0.0003684, train loss: 0.31422, acc: 88.67000
Sun Apr 14 08:04:14 2024 Epoch 166, rank:12, lr: 0.0003481, train loss: 0.30502, acc: 89.10600
Sun Apr 14 08:04:24 2024 Epoch 167, rank:12, lr: 0.0003284, train loss: 0.30640, acc: 89.03800
Sun Apr 14 08:04:33 2024 Epoch 168, rank:12, lr: 0.0003092, train loss: 0.30740, acc: 89.02600
Sun Apr 14 08:04:42 2024 Epoch 169, rank:11, lr: 0.0002906, train loss: 0.31049, acc: 88.78800
Sun Apr 14 08:04:51 2024 Epoch 170, rank:11, lr: 0.0002725, train loss: 0.30934, acc: 88.87400
Sun Apr 14 08:05:01 2024 Epoch 171, rank:11, lr: 0.0002549, train loss: 0.30834, acc: 89.12600
Sun Apr 14 08:05:10 2024 Epoch 172, rank:11, lr: 0.0002379, train loss: 0.30439, acc: 89.27000
Sun Apr 14 08:05:20 2024 Epoch 173, rank:11, lr: 0.0002215, train loss: 0.30488, acc: 89.04800
Sun Apr 14 08:05:29 2024 Epoch 174, rank:11, lr: 0.0002056, train loss: 0.30385, acc: 89.13200
Sun Apr 14 08:05:38 2024 Epoch 175, rank:11, lr: 0.0001903, train loss: 0.30404, acc: 89.04400
Sun Apr 14 08:05:48 2024 Epoch 176, rank:11, lr: 0.0001756, train loss: 0.30168, acc: 89.22200
Sun Apr 14 08:05:57 2024 Epoch 177, rank:11, lr: 0.0001614, train loss: 0.29975, acc: 89.33600
Sun Apr 14 08:06:07 2024 Epoch 178, rank:11, lr: 0.0001478, train loss: 0.30117, acc: 89.10600
Sun Apr 14 08:06:16 2024 Epoch 179, rank:10, lr: 0.0001348, train loss: 0.29904, acc: 89.35000
Sun Apr 14 08:06:25 2024 Epoch 180, rank:10, lr: 0.0001224, train loss: 0.30054, acc: 89.22000
Sun Apr 14 08:06:35 2024 Epoch 181, rank:10, lr: 0.0001105, train loss: 0.30247, acc: 89.10800
Sun Apr 14 08:06:44 2024 Epoch 182, rank:10, lr: 0.0000993, train loss: 0.29938, acc: 89.35000
Sun Apr 14 08:06:53 2024 Epoch 183, rank:10, lr: 0.0000886, train loss: 0.29917, acc: 89.19200
Sun Apr 14 08:07:03 2024 Epoch 184, rank:9, lr: 0.0000785, train loss: 0.29274, acc: 89.47400
Sun Apr 14 08:07:12 2024 Epoch 185, rank:9, lr: 0.0000691, train loss: 0.29609, acc: 89.38800
Sun Apr 14 08:07:21 2024 Epoch 186, rank:9, lr: 0.0000602, train loss: 0.29769, acc: 89.31400
Sun Apr 14 08:07:31 2024 Epoch 187, rank:9, lr: 0.0000519, train loss: 0.29641, acc: 89.43400
Sun Apr 14 08:07:40 2024 Epoch 188, rank:9, lr: 0.0000443, train loss: 0.29742, acc: 89.31000
